LotArea,LotConfig,Zone,Floors,OverallCond,YearBuilt,Rooms,SaleCondition,SalePrice
8450,Inside,CollgCr,2Story,5,2003,8,Normal,208500
9600,FR2,Veenker,1Story,8,1976,6,Normal,181500
11250,Inside,CollgCr,2Story,5,2001,6,Normal,223500
9550,Corner,Crawfor,2Story,5,1915,7,Abnorml,140000
14260,FR2,NoRidge,2Story,5,2000,9,Normal,250000
14115,Inside,Mitchel,1.5Fin,5,1993,5,Normal,143000
10084,Inside,Somerst,1Story,5,2004,7,Normal,307000
10382,Corner,NWAmes,2Story,6,1973,7,Normal,200000
6120,Inside,OldTown,1.5Fin,5,1931,8,Abnorml,129900
7420,Corner,BrkSide,1.5Unf,6,1939,5,Normal,118000
11200,Inside,Sawyer,1Story,5,1965,5,Normal,129500
11924,Inside,NridgHt,2Story,5,2005,11,Partial,345000
12968,Inside,Sawyer,1Story,6,1962,4,Normal,144000
10652,Inside,CollgCr,1Story,5,2006,7,Partial,279500
10920,Corner,NAmes,1Story,5,1960,5,Normal,157000
6120,Corner,BrkSide,1.5Unf,8,1929,5,Normal,132000
11241,CulDSac,NAmes,1Story,7,1970,5,Normal,149000
10791,Inside,Sawyer,1Story,5,1967,6,Normal,90000
13695,Inside,SawyerW,1Story,5,2004,6,Normal,159000
7560,Inside,NAmes,1Story,6,1958,6,Abnorml,139000
14215,Corner,NridgHt,2Story,5,2005,9,Partial,325300
7449,Inside,IDOTRR,1.5Unf,7,1930,6,Normal,139400
9742,Inside,CollgCr,1Story,5,2002,7,Normal,230000
4224,Inside,MeadowV,1Story,7,1976,6,Normal,129900
8246,Inside,Sawyer,1Story,8,1968,6,Normal,154000
14230,Corner,NridgHt,1Story,5,2007,7,Normal,256300
7200,Corner,NAmes,1Story,7,1951,5,Normal,134800
11478,Inside,NridgHt,1Story,5,2007,7,Normal,306000
16321,CulDSac,NAmes,1Story,6,1957,6,Normal,207500
6324,Inside,BrkSide,1Story,6,1927,4,Normal,68500
8500,Inside,IDOTRR,2Story,4,1920,6,Normal,40000
8544,CulDSac,Sawyer,1Story,6,1966,6,Normal,149350
11049,Corner,CollgCr,1Story,5,2007,7,Normal,179900
10552,Inside,NAmes,1Story,5,1959,6,Normal,165500
7313,Inside,NridgHt,1Story,5,2005,6,Normal,277500
13418,Inside,NridgHt,2Story,5,2004,9,Normal,309000
10859,Corner,CollgCr,1Story,5,1994,6,Normal,145000
8532,Inside,NAmes,1Story,6,1954,5,Normal,153000
7922,Inside,NAmes,1Story,7,1953,5,Abnorml,109000
6040,Inside,Edwards,1Story,5,1955,6,AdjLand,82000
8658,Inside,NAmes,1Story,5,1965,6,Abnorml,160000
16905,Inside,Timber,1Story,6,1959,5,Normal,170000
9180,CulDSac,SawyerW,SFoyer,7,1983,5,Normal,144000
9200,CulDSac,CollgCr,1Story,6,1975,5,Normal,130250
7945,Inside,NAmes,1Story,6,1959,6,Normal,141000
7658,Inside,NridgHt,1Story,5,2005,6,Normal,319900
12822,CulDSac,Mitchel,1.5Fin,5,2003,6,Abnorml,239686
11096,Inside,Somerst,1Story,5,2006,7,Normal,249700
4456,Inside,OldTown,2Story,5,1920,8,Partial,113000
7742,Inside,Sawyer,1Story,7,1966,6,Normal,127000
13869,Corner,Gilbert,2Story,6,1997,6,Normal,177000
6240,Inside,BrkSide,1.5Fin,6,1934,6,Normal,114500
8472,Corner,IDOTRR,1Story,5,1963,5,Normal,110000
50271,Inside,Veenker,1Story,5,1981,5,Normal,385000
7134,Inside,NAmes,SLvl,5,1955,6,Normal,130000
10175,Inside,NAmes,1Story,5,1964,7,Normal,180500
2645,Inside,Somerst,2Story,5,1999,7,Abnorml,172500
11645,Corner,CollgCr,2Story,5,2004,7,Normal,196500
13682,CulDSac,StoneBr,2Story,5,2006,10,Partial,438780
7200,Inside,CollgCr,1Story,7,1972,4,Normal,124900
13072,Inside,SawyerW,1Story,5,2004,5,Partial,158000
7200,Inside,IDOTRR,2.5Unf,7,1920,6,Normal,101000
6442,Inside,NridgHt,1Story,5,2006,6,Normal,202500
10300,Inside,OldTown,2Story,6,1921,9,Normal,140000
9375,Inside,CollgCr,2Story,5,1997,8,Normal,219500
9591,Inside,NridgHt,2Story,5,2004,9,Normal,317000
19900,Inside,NAmes,1Story,5,1970,7,Normal,180000
10665,Inside,CollgCr,1Story,5,2003,7,Normal,226000
4608,Corner,OldTown,1Story,6,1945,4,Normal,80000
15593,Corner,ClearCr,1.5Fin,4,1953,7,Normal,225000
13651,Inside,NAmes,1Story,6,1973,8,Normal,244000
7599,Corner,Mitchel,1Story,6,1982,4,Normal,129500
10141,Corner,Gilbert,2Story,5,1998,7,Normal,185000
10200,Inside,NAmes,1Story,7,1954,6,Normal,144900
5790,Corner,OldTown,2Story,6,1915,8,Normal,107400
1596,Inside,MeadowV,SLvl,5,1973,5,Normal,91000
8475,Inside,NAmes,1Story,7,1956,4,Normal,135750
8635,Inside,BrkSide,1.5Fin,5,1948,6,Normal,127000
10778,Inside,Sawyer,1Story,5,1968,8,Normal,136500
10440,Corner,OldTown,2Story,6,1910,5,Normal,110000
13000,Corner,NAmes,2Story,6,1968,8,Normal,193500
4500,FR2,Mitchel,1Story,5,1998,5,Normal,153500
10206,Inside,Somerst,1Story,5,2007,6,Normal,245000
8892,Inside,NAmes,1Story,5,1960,6,Normal,126500
8530,Inside,Gilbert,SLvl,5,1995,7,Normal,168500
16059,Corner,NoRidge,2Story,5,1991,9,Normal,260000
11911,Inside,Gilbert,2Story,5,2005,6,Normal,174000
3951,Corner,Somerst,2Story,5,2009,4,Partial,164500
8470,Corner,IDOTRR,1.5Fin,2,1915,6,Abnorml,85000
8070,Inside,CollgCr,1Story,5,1994,5,Normal,123600
7200,Inside,NAmes,1Story,5,1950,4,Normal,109900
8500,Inside,NAmes,1Story,3,1961,6,Abnorml,98600
13360,Inside,Crawfor,1Story,7,1921,5,Normal,163500
7200,Corner,OldTown,2.5Unf,6,1910,9,Normal,133900
9337,Inside,CollgCr,2Story,5,1997,7,Normal,204750
9765,Corner,Gilbert,2Story,8,1993,6,Normal,185000
10264,Inside,CollgCr,1Story,5,1999,6,Normal,214000
10921,Inside,Edwards,1Story,5,1965,6,Normal,94750
10625,Corner,Edwards,1Story,5,1920,5,Abnorml,83000
9320,Inside,NAmes,1Story,5,1959,6,Normal,128950
10603,Inside,NWAmes,1Story,7,1977,6,Normal,205000
9206,Inside,SawyerW,2Story,5,1985,7,Normal,178000
7018,Inside,SawyerW,1Story,5,1979,8,Alloca,118964
10402,Corner,CollgCr,1Story,5,2009,6,Normal,198900
7758,Corner,IDOTRR,1.5Fin,4,1931,7,Normal,169500
9375,Inside,Somerst,2Story,5,2003,9,Normal,250000
10800,Inside,OldTown,1Story,7,1885,6,Normal,100000
6000,Inside,OldTown,1Story,5,1948,5,Partial,115000
8500,Corner,IDOTRR,1.5Fin,7,1919,7,Normal,115000
11751,Inside,NWAmes,1Story,6,1977,7,Normal,190000
9525,Inside,Edwards,1.5Fin,4,1954,7,Normal,136900
7750,Inside,Gilbert,SLvl,5,2000,7,Normal,180000
9965,Inside,CollgCr,2Story,5,2007,10,Partial,383970
21000,Corner,Crawfor,1Story,5,1953,7,Abnorml,217000
7259,Inside,Crawfor,2Story,8,1945,9,Normal,259500
3230,Corner,Somerst,2Story,5,1999,5,Normal,176000
11616,Inside,Sawyer,1Story,5,1962,6,Normal,139000
8536,Corner,Edwards,1Story,5,2006,5,Partial,155000
12376,Corner,SawyerW,2Story,5,1990,11,Normal,320000
8461,Inside,CollgCr,2Story,5,2005,8,Partial,163990
21453,CulDSac,ClearCr,SLvl,5,1969,4,Normal,180000
6060,Inside,IDOTRR,1.5Fin,5,1939,4,Normal,100000
9464,Corner,NAmes,1Story,7,1958,5,Normal,136000
7892,Inside,SawyerW,1Story,5,1993,5,Normal,153900
17043,CulDSac,NWAmes,1Story,5,1979,7,Normal,181000
6780,Inside,IDOTRR,1.5Fin,8,1935,5,Normal,84500
4928,Inside,NPkVill,1Story,5,1976,5,Normal,128000
4388,Inside,OldTown,1.5Unf,7,1930,5,Normal,87000
7590,Inside,NAmes,2Story,5,1966,6,Normal,155000
8973,Inside,NAmes,1Story,7,1958,6,Abnorml,150000
14200,Corner,NAmes,2Story,6,1966,8,Normal,226000
12224,Corner,Gilbert,2Story,5,2000,7,Normal,244000
7388,Corner,NAmes,1Story,6,1959,7,Normal,150750
6853,Inside,Timber,1Story,5,2001,6,Normal,220000
10335,Inside,Sawyer,1Story,6,1968,7,Normal,180000
10400,Inside,NWAmes,1Story,6,1970,7,Normal,174000
10355,Corner,NAmes,1Story,5,1967,5,Normal,143000
11070,Inside,Mitchel,1Story,5,1988,9,Family,171000
9066,Inside,CollgCr,2Story,5,1999,7,Normal,230000
15426,Inside,CollgCr,2Story,5,1997,7,Normal,231500
10500,FR2,NAmes,1Story,5,1971,5,Normal,115000
11645,Inside,CollgCr,1Story,5,2005,7,Normal,260000
8520,Corner,NAmes,1.5Fin,4,1952,6,Normal,166000
10335,Inside,CollgCr,1Story,5,1999,6,Normal,204000
9100,Inside,Sawyer,1Story,5,1963,10,Abnorml,125000
2522,Inside,Edwards,2Story,5,2004,7,Normal,130000
6120,Corner,BrkSide,1Story,7,1931,5,Normal,105000
9505,CulDSac,Gilbert,2Story,5,2001,8,Normal,222500
7500,Inside,SawyerW,1Story,5,2004,6,Normal,141000
6240,Inside,BrkSide,1.5Fin,4,1936,7,Normal,115000
10356,Corner,CollgCr,1Story,6,1975,5,Normal,122000
13891,Inside,NridgHt,1Story,5,2007,6,Partial,372402
14803,CulDSac,NWAmes,2Story,5,1971,8,Normal,190000
13500,Inside,ClearCr,1Story,7,1960,4,Normal,235000
11340,Corner,OldTown,1Story,5,1923,7,Family,125000
9600,Corner,Edwards,1.5Fin,5,1924,5,Normal,79000
7200,Inside,NAmes,1Story,7,1950,5,Normal,109500
12003,Corner,Timber,2Story,5,2009,8,Partial,269500
12552,Corner,Somerst,2Story,5,2004,8,Normal,254900
19378,Corner,Gilbert,2Story,5,2005,9,Partial,320000
11120,CulDSac,Veenker,1Story,6,1984,6,Normal,162500
13688,Inside,NridgHt,2Story,5,2003,10,Normal,412500
12182,Corner,NridgHt,1Story,5,2005,7,Partial,220000
5500,Inside,OldTown,1.5Unf,6,1956,4,Normal,103200
5400,Corner,OldTown,1Story,7,1926,5,Normal,152000
10106,Inside,Edwards,1.5Fin,7,1940,6,Normal,127500
10708,Inside,ClearCr,1Story,5,1955,7,Normal,190000
10562,Inside,NridgHt,2Story,5,2007,8,Partial,325624
8244,Inside,Gilbert,2Story,5,2004,7,Normal,183500
16669,Corner,Timber,1Story,6,1981,6,Normal,228000
12358,Inside,OldTown,1.5Fin,6,1941,7,Normal,128500
31770,Corner,NAmes,1Story,5,1960,7,Normal,215000
5306,Inside,StoneBr,2Story,7,1987,5,Normal,239000
10197,Inside,NAmes,1Story,5,1961,6,Normal,163000
12416,Inside,Timber,1Story,5,1986,7,Normal,184000
12615,Corner,Edwards,1Story,7,1950,7,Normal,243000
10029,Corner,ClearCr,2Story,5,1988,8,Normal,211000
13650,Inside,Sawyer,1.5Fin,5,1958,8,Normal,172500
17423,CulDSac,StoneBr,1Story,5,2008,9,Partial,501837
8520,Inside,OldTown,1Story,6,1923,5,Normal,100000
2117,Inside,Somerst,2Story,5,2000,5,Normal,177000
7588,Inside,Crawfor,2Story,6,1920,9,Normal,200100
9060,Inside,Edwards,1Story,6,1957,7,Normal,120000
11426,Inside,OldTown,1.5Fin,5,2003,6,Normal,200000
7438,Inside,BrkSide,1.5Fin,8,1908,5,Normal,127000
22950,Inside,OldTown,2.5Fin,9,1892,12,Normal,475000
9947,CulDSac,Mitchel,SLvl,5,1990,6,Normal,173000
10410,Inside,OldTown,1.5Fin,7,1916,8,Normal,135000
7018,Inside,SawyerW,SFoyer,5,1979,6,Alloca,153337
4923,Inside,StoneBr,1Story,5,2001,5,Normal,286000
10570,Inside,Crawfor,2Story,8,1932,10,Normal,315000
7472,CulDSac,NAmes,2Story,9,1972,7,Normal,184000
9017,Inside,CollgCr,1Story,5,1999,6,Normal,192000
2522,Inside,Edwards,2Story,5,2004,7,Normal,130000
7180,Inside,CollgCr,1Story,7,1972,5,Normal,127000
2280,FR2,NPkVill,2Story,6,1976,7,Normal,148500
9416,Inside,Somerst,1Story,5,2007,8,Partial,311872
25419,Corner,NAmes,2Story,4,1918,8,Abnorml,235000
5520,Corner,OldTown,2.5Fin,6,1912,8,Abnorml,104000
9591,Inside,NridgHt,1Story,5,2004,7,Normal,274900
8546,Corner,Edwards,1Story,5,2003,5,Normal,140000
10125,Inside,Mitchel,1Story,6,1977,6,Normal,171500
7000,Corner,OldTown,1.5Fin,6,1924,6,Normal,112000
4438,Inside,CollgCr,1Story,5,2004,3,Normal,149000
3500,Inside,OldTown,1.5Fin,7,1947,5,Normal,110000
11851,Corner,Gilbert,1Story,5,1990,5,Normal,180500
13673,CulDSac,Sawyer,1Story,5,1962,8,Normal,143900
12493,Inside,NAmes,1Story,5,1960,6,Normal,141000
14364,Inside,SawyerW,2Story,5,1988,7,Normal,277000
8250,Inside,NAmes,1Story,7,1964,6,Normal,145000
5604,Inside,Edwards,1Story,6,1925,5,Normal,98000
10420,Corner,Edwards,1Story,5,2009,6,Normal,186000
8640,Inside,Somerst,2Story,5,2009,7,Partial,252678
13568,CulDSac,CollgCr,1Story,5,1995,5,Normal,156000
10900,FR2,CollgCr,2Story,7,1977,6,Normal,161750
10011,Inside,NAmes,1Story,6,1957,6,Normal,134450
8450,Inside,CollgCr,1Story,5,2004,8,Normal,210000
9906,Inside,OldTown,2Story,4,1925,8,Family,107000
15660,Corner,Crawfor,1.5Fin,9,1939,8,Normal,311500
3010,Inside,Blmngtn,1Story,5,2005,5,Partial,167240
8990,Inside,CollgCr,1Story,5,2006,5,Partial,204900
8068,Inside,Gilbert,2Story,5,2002,8,Normal,200000
11475,Inside,NWAmes,2Story,6,1975,6,Normal,179900
10500,FR2,NAmes,1Story,6,1971,4,Abnorml,97000
13472,Inside,NridgHt,1Story,5,2003,8,Normal,386250
1680,Inside,BrDale,2Story,5,1971,6,Abnorml,112000
9950,Inside,NoRidge,2Story,5,1995,9,Abnorml,290000
1869,Inside,BrDale,2Story,6,1970,5,Normal,106000
8521,FR2,Sawyer,1Story,5,1967,5,Normal,125000
3182,Inside,Blmngtn,1Story,5,2005,7,Normal,192500
8760,Inside,NAmes,1Story,6,1959,6,Normal,148000
15138,Inside,NoRidge,2Story,5,1995,9,Normal,403000
1680,Inside,BrDale,2Story,5,1972,5,Normal,94500
10650,Corner,CollgCr,1Story,6,1976,5,Normal,128200
7851,Inside,Gilbert,2Story,5,2002,8,Normal,216500
1680,Inside,BrDale,2Story,3,1971,5,Normal,89500
8773,FR2,CollgCr,1Story,5,2004,6,Normal,185500
9453,CulDSac,SawyerW,2Story,7,1993,7,Normal,194500
12030,Inside,NridgHt,1Story,5,2007,7,Partial,318000
8741,Inside,Edwards,1.5Fin,4,1945,7,Normal,113000
9000,Inside,Somerst,1Story,5,2008,7,Normal,262500
3880,Inside,OldTown,1Story,9,1945,4,Normal,110500
5000,Corner,OldTown,1.5Fin,4,1900,6,Normal,79000
10762,Corner,SawyerW,2Story,6,1980,6,Normal,120000
8880,Inside,SawyerW,2Story,5,1994,8,Normal,205000
10400,Inside,NWAmes,1Story,5,1988,6,Normal,241500
9142,Inside,OldTown,2Story,8,1910,9,Normal,137000
11310,Inside,NAmes,1Story,5,1954,5,Normal,140000
11317,Inside,CollgCr,2Story,5,2003,8,Normal,180000
159000,CulDSac,ClearCr,1.5Fin,7,1958,7,Normal,277000
5350,Inside,BrkSide,1Story,2,1940,6,Normal,76500
4750,Inside,Crawfor,1Story,5,2006,5,Family,235000
8366,Inside,SawyerW,2Story,5,2004,6,Normal,173000
9350,Inside,NAmes,SLvl,7,1964,7,Normal,158000
8400,Inside,NAmes,1Story,6,1957,5,Normal,145000
8738,Inside,Gilbert,2Story,5,1999,8,Normal,230000
8791,Inside,Somerst,2Story,5,2003,7,Normal,207500
8814,Inside,CollgCr,1Story,5,2006,8,Abnorml,220000
12435,Inside,CollgCr,2Story,5,2001,7,Normal,231500
12702,Inside,OldTown,1Story,5,1956,4,Normal,97000
19296,Corner,NAmes,SLvl,5,1962,6,Normal,176000
9588,Inside,CollgCr,2Story,5,2007,10,Partial,276000
8471,Corner,Sawyer,SLvl,7,1977,6,Normal,151000
5500,Corner,OldTown,1.5Fin,7,1929,6,Normal,130000
5232,Inside,OldTown,1Story,5,1925,4,Normal,73000
12090,Inside,NWAmes,1Story,6,1981,7,Normal,175500
11207,FR2,Gilbert,2Story,5,1997,8,Normal,185000
8400,Inside,SWISU,2.5Fin,8,1939,8,Normal,179500
6900,Inside,IDOTRR,1Story,6,1940,4,Normal,120500
7917,Corner,Edwards,1Story,7,1976,6,Normal,148000
10728,Inside,Somerst,2Story,5,2006,8,Partial,266000
39104,CulDSac,ClearCr,1Story,7,1954,5,Normal,241500
11764,CulDSac,NoRidge,2Story,7,1999,9,Normal,290000
9600,Inside,NAmes,1Story,6,1958,6,Normal,139000
8314,Corner,Mitchel,1Story,7,1982,5,Normal,124500
7264,Inside,BrkSide,1.5Fin,7,1925,5,Normal,205000
9196,Inside,Mitchel,1Story,5,2003,7,Normal,201000
19138,Corner,Gilbert,1Story,5,1951,4,Normal,141000
14450,Inside,NridgHt,1Story,5,2006,8,Partial,415298
10005,Inside,ClearCr,2Story,5,1977,8,Normal,192000
11287,Inside,SawyerW,2Story,6,1989,7,Normal,228500
7200,Inside,Somerst,1Story,5,2006,5,Partial,185000
5063,Inside,NridgHt,1Story,5,2007,6,Normal,207500
9612,Inside,Somerst,1Story,5,2008,6,Partial,244600
8012,Inside,SawyerW,1Story,5,1992,5,Normal,179200
4251,Inside,Somerst,2Story,5,2006,5,Partial,164700
9786,Inside,NAmes,1.5Fin,7,1962,7,Normal,159000
8125,Corner,NAmes,1Story,4,1971,5,Normal,88000
9819,Inside,Sawyer,1Story,5,1967,5,Normal,122000
8730,Inside,BrkSide,2Story,7,1915,7,Normal,153575
15611,Inside,CollgCr,2Story,5,2006,8,Partial,233230
5687,Inside,SWISU,2Story,6,1912,9,Normal,135900
11409,Inside,Edwards,1.5Fin,4,1949,8,Normal,131000
16659,Corner,NWAmes,2Story,7,1977,9,Normal,235000
9600,Inside,NAmes,1Story,5,1953,7,Normal,167000
7937,CulDSac,Mitchel,SLvl,6,1984,6,Normal,142500
13710,Inside,IDOTRR,1.5Fin,5,1950,6,Normal,152000
7399,Inside,Somerst,2Story,5,1997,7,Normal,239000
11700,Inside,NWAmes,2Story,6,1968,7,Normal,175000
14000,Inside,Crawfor,1Story,8,1950,6,Family,158500
15750,Corner,Crawfor,1Story,5,1953,5,Normal,157000
16226,Inside,CollgCr,2Story,5,1998,9,Normal,267000
13704,Corner,CollgCr,1Story,5,2001,6,Normal,205000
9800,Corner,CollgCr,1Story,7,1972,5,Abnorml,149900
18386,Inside,OldTown,2.5Fin,9,1880,10,Normal,295000
10386,Inside,CollgCr,1Story,5,2004,8,Normal,305900
13474,Inside,SawyerW,2Story,5,1990,8,Normal,225000
7920,Inside,IDOTRR,1.5Fin,7,1920,6,Normal,89500
12342,Inside,Edwards,1Story,5,1940,4,Normal,82500
12378,Inside,NridgHt,1Story,5,2003,8,Normal,360000
7685,Inside,Gilbert,2Story,5,1993,6,Normal,165600
8000,Inside,NAmes,1Story,6,1948,5,Normal,132000
7800,Inside,OldTown,1.5Fin,7,1939,5,Normal,119900
215245,Inside,Timber,1Story,5,1965,8,Normal,375000
9600,Inside,OldTown,2Story,7,1925,6,Normal,178000
7795,Inside,Gilbert,2Story,5,2004,6,Normal,188500
13005,Corner,NWAmes,2Story,7,1980,10,Normal,260000
9000,Inside,Somerst,2Story,5,2006,8,Normal,270000
9900,Inside,NoRidge,2Story,5,1993,9,Normal,260000
14115,Inside,NWAmes,SLvl,5,1980,6,Normal,187500
16259,Corner,NridgHt,2Story,5,2006,9,Partial,342643
12099,Inside,NridgHt,2Story,5,2004,10,Normal,354000
10380,Inside,SawyerW,2Story,5,1986,8,Normal,301000
5820,Inside,OldTown,1Story,8,1955,6,Normal,126175
11275,Corner,NAmes,SLvl,7,1967,11,Normal,242000
5000,Inside,IDOTRR,1.5Unf,6,1941,5,Normal,87000
10846,CulDSac,Veenker,1Story,5,1993,6,Normal,324000
11600,Inside,NAmes,1Story,5,1960,7,Normal,145250
11888,Inside,BrkSide,2.5Unf,6,1916,10,Normal,214500
6402,Corner,IDOTRR,2Story,5,1920,6,Normal,78000
10624,Inside,NAmes,1Story,4,1964,10,Normal,119000
8176,Inside,NAmes,1Story,6,1958,6,Normal,139000
10655,Inside,NridgHt,1Story,5,2003,7,Normal,284000
8198,FR3,NridgHt,1Story,5,2004,6,Normal,207000
9042,Inside,Gilbert,2Story,5,1998,7,Normal,192000
164660,Corner,Timber,1.5Fin,6,1965,7,Normal,228950
14157,Corner,StoneBr,1Story,5,2005,8,Normal,377426
9135,Inside,CollgCr,1Story,5,2002,7,Normal,214000
14145,Corner,NWAmes,1Story,7,1984,8,Normal,202500
12400,Inside,NAmes,1Story,7,1958,6,Normal,155000
14191,Inside,Timber,2Story,5,2002,9,Normal,202900
8400,Inside,SawyerW,1Story,4,1950,4,Normal,82000
8544,Inside,NAmes,1Story,4,1949,6,Normal,87500
8849,Inside,NridgHt,1Story,5,2005,6,Normal,266000
2592,Inside,MeadowV,2Story,3,1976,4,Normal,85000
6435,Inside,BrkSide,1.5Fin,5,1939,6,Normal,140200
12772,CulDSac,NAmes,1Story,8,1960,5,Normal,151500
17600,Inside,NAmes,1Story,5,1960,6,Normal,157500
2448,Inside,NridgHt,2Story,5,2003,6,Normal,154000
20431,Inside,NridgHt,2Story,5,2005,10,Partial,437154
7820,Inside,NridgHt,1Story,5,2007,6,Partial,318061
5271,Inside,ClearCr,1Story,5,1986,6,Abnorml,190000
9084,Inside,Edwards,1.5Fin,6,1941,5,Normal,95000
8520,Inside,OldTown,1Story,8,1928,5,Normal,105900
8400,Inside,SWISU,1.5Fin,5,1940,6,Normal,140000
11249,Inside,CollgCr,1Story,5,1995,6,Normal,177500
9248,Inside,Gilbert,1Story,6,1992,6,Normal,173000
4224,Inside,MeadowV,1Story,5,1976,6,Normal,134000
6930,Inside,ClearCr,SLvl,4,1958,6,Abnorml,130000
12011,CulDSac,NoRidge,2Story,5,1998,7,Normal,280000
7540,CulDSac,Mitchel,SFoyer,6,1978,5,Normal,156000
9144,Inside,BrkSide,1.5Fin,5,1940,8,Normal,145000
7301,Corner,Edwards,SFoyer,5,2003,7,Normal,198500
